== cal_slot4_lid11_seq64295.pt T=64295 A=59518 nq=256 need p50/p90/max=0/0/2 key_mean_energy=0.176
  basis     r    zp   z50  fire50  fire90 firemax fallbk  fire0    qE    kE
  qpca     64  3.30  1.32       0       5      45  0.000      0  0.71  0.20
  qpca    128  3.17  0.91       0       2      40  0.000      0  0.84  0.32
  qpca    256  2.92  0.92       0       1      23  0.000      0  0.93  0.54
  kpca     64  5.62  2.54       0     272    5058  0.004      0  0.22  0.65
  kpca    128  3.98  1.74       0       8     192  0.000      0  0.36  0.79
  kpca    256  2.58  0.57       0       1      28  0.000      0  0.59  0.91
  kmom     64  7.25  3.23       2     168    4833  0.004      0  0.26  0.76
  kmom    128  5.58  2.49       0      10     224  0.000      0  0.38  0.87
  kmom    256  2.99  1.17       0       1      28  0.000      0  0.60  0.95
  mix      64  4.16  1.99       0       2      28  0.000      0  0.63  0.67
  mix     128  3.19  1.40       0       1      25  0.000      0  0.79  0.80
  mix     256  2.02  0.83       0       0       5  0.000      0  0.92  0.92
  diag     64  8.00  3.93      56   19855   59136  0.250      0  0.20  0.18
  diag    128  7.62  3.68       5    2108   32836  0.051      0  0.35  0.33
  diag    256  6.40  2.80       0      16    1223  0.000      0  0.60  0.59
== cal_slot4_lid11_seq65069.pt T=65069 A=59518 nq=256 need p50/p90/max=0/0/4 key_mean_energy=0.079
  basis     r    zp   z50  fire50  fire90 firemax fallbk  fire0    qE    kE
  qpca     64  3.62  1.36       0       0     461  0.000      0  0.76  0.20
  qpca    128  2.74  0.71       0       0      71  0.000      0  0.88  0.33
  qpca    256  2.28  0.40       0       0      11  0.000      0  0.96  0.55
  kpca     64  4.69  2.22       0      70   11825  0.012      0  0.27  0.48
  kpca    128  4.23  1.54       0      14    2713  0.000      0  0.39  0.66
  kpca    256  3.15  0.50       0       1      86  0.000      0  0.58  0.84
  kmom     64  5.65  3.32       0      68    8980  0.004      0  0.34  0.51
  kmom    128  5.23  2.71       0       7    2061  0.000      0  0.45  0.69
  kmom    256  3.85  1.95       0       0      77  0.000      0  0.64  0.86
  mix      64  3.84  1.95       0       1     345  0.000      0  0.68  0.42
  mix     128  3.17  1.50       0       0      71  0.000      0  0.82  0.59
  mix     256  2.34  0.80       0       0      11  0.000      0  0.94  0.79
  diag     64  6.05  3.93       0    2582   59260  0.094      0  0.22  0.14
  diag    128  5.58  3.60       0     104   25787  0.016      0  0.38  0.28
  diag    256  4.61  2.94       0       1     637  0.000      0  0.63  0.53
== cal_slot4_lid15_seq64295.pt T=64295 A=59518 nq=256 need p50/p90/max=0/1/17 key_mean_energy=0.177
  basis     r    zp   z50  fire50  fire90 firemax fallbk  fire0    qE    kE
  qpca     64  2.62  0.64       0      25     128  0.000      0  0.71  0.23
  qpca    128  2.32  0.46       0      12      72  0.000      0  0.82  0.35
  qpca    256  2.14  0.55       0       5      42  0.000      0  0.91  0.56
  kpca     64  5.41  2.48       0     314    7506  0.008      0  0.23  0.62
  kpca    128  4.62  1.88       0      39     823  0.000      0  0.39  0.77
  kpca    256  3.44  1.19       0       6      64  0.000      0  0.59  0.90
  kmom     64  6.15  2.91       2     281    7410  0.012      0  0.24  0.73
  kmom    128  4.48  2.19       0      22     480  0.000      0  0.40  0.85
  kmom    256  3.19  1.39       0       4      31  0.000      0  0.61  0.94
  mix      64  3.62  1.66       0      13      87  0.000      0  0.62  0.63
