S_tokens,vestigekv_ms,dense_ms,speedup
0,7.6729,9.4604,1.2330
16384,4.1977,4.0825,0.9726
32768,4.2415,4.2057,0.9916
49152,4.2576,4.3178,1.0141
65536,4.2714,4.4274,1.0365
81920,4.2854,4.5352,1.0583
98304,4.3022,4.6363,1.0777
114688,4.3235,4.7392,1.0962
131072,4.3349,4.8402,1.1165
147456,4.3656,4.9412,1.1319
163840,4.3778,5.0402,1.1513
180224,4.4113,5.1393,1.1650
196608,4.4392,5.2408,1.1806
212992,4.4633,5.3421,1.1969
229376,4.4813,5.4400,1.2139
245760,4.4946,5.5431,1.2333
262144,4.5541,5.6369,1.2378
278528,4.5519,5.7378,1.2605
294912,4.5908,5.8348,1.2710
311296,4.6282,5.9283,1.2809
327680,4.6533,6.0275,1.2953
344064,4.6717,6.1255,1.3112
360448,4.7053,6.2217,1.3223
376832,4.7538,6.3215,1.3298
393216,4.8505,6.4157,1.3227
409600,4.8820,6.5108,1.3336
425984,4.9305,6.6083,1.3403
442368,4.9388,6.7083,1.3583
458752,4.9847,6.8162,1.3674
475136,4.9978,6.8995,1.3805
491520,5.0423,6.9969,1.3877
507904,5.0546,7.0934,1.4033
