S_tokens,vestigekv_ms,dense_ms,speedup
0,6.6947,6.9961,1.0450
16384,4.1887,4.0679,0.9712
32768,4.2365,4.1912,0.9893
49152,4.2560,4.3030,1.0111
65536,4.2716,4.4137,1.0333
81920,4.2858,4.5232,1.0554
98304,4.3021,4.6249,1.0750
114688,4.3260,4.7290,1.0931
131072,4.3387,4.8301,1.1133
147456,4.3685,4.9315,1.1289
163840,4.3804,5.0311,1.1486
180224,4.4130,5.1299,1.1624
196608,4.4387,5.2317,1.1786
212992,4.4678,5.3312,1.1933
229376,4.4815,5.4280,1.2112
245760,4.4939,5.5322,1.2310
262144,4.5312,5.6264,1.2417
278528,4.5573,5.7271,1.2567
294912,4.5936,5.8244,1.2679
311296,4.6212,5.9188,1.2808
327680,4.6349,6.0184,1.2985
344064,4.6636,6.1177,1.3118
360448,4.7021,6.2131,1.3214
376832,4.7513,6.3121,1.3285
393216,4.8292,6.4058,1.3265
409600,4.8798,6.5020,1.3324
425984,4.9207,6.5990,1.3411
442368,4.9310,6.6984,1.3584
458752,4.9875,6.8064,1.3647
475136,4.9967,6.8908,1.3791
491520,5.0457,6.9869,1.3847
507904,5.0658,7.0826,1.3981
